NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
223999,84327,.37538463,.38185923,1.3076131,270.51134,50.277186
224999,84712,.37546411,.39326788,1.0904219,271.60177,49.016052
225999,85075,.37542444,.36649820,1.1924410,272.79421,47.857226
226999,85452,.37542387,.37529498,1.0832541,273.87746,46.626987
227999,85849,.37547193,.38638314,1.2860839,275.16354,45.356840
228999,86231,.37550977,.38413560,1.1467819,276.31033,44.120060
229999,86610,.37556314,.38778629,1.1801312,277.49046,42.900326
230999,87000,.37555257,.37311955,1.2806180,278.77108,41.655448
231999,87363,.37553705,.37195210,1.0883288,279.85940,40.481477
232999,87752,.37558283,.38620487,1.2036281,281.06303,39.229420
233999,88112,.37553834,.36517197,1.3747790,282.43781,38.106282
234999,88470,.37546061,.35727278,1.2199991,283.65781,36.968176
235999,88871,.37552931,.39167309,1.2508221,284.90863,35.678097
236999,89250,.37554006,.37807573,1.0854568,285.99409,34.447467
237999,89612,.37547325,.35964136,1.2889981,287.28309,33.302423
238999,89976,.37544479,.36866978,1.2901139,288.57320,32.149215
239999,90352,.37543427,.37291974,1.0939350,289.66714,30.931341
240999,90724,.37542488,.37317221,1.2214119,290.88855,29.741658
241999,91118,.37546366,.38481052,1.0881691,291.97672,28.461305
242999,91498,.37544479,.37087815,1.2826331,293.25935,27.249678
243999,91874,.37545637,.37826989,1.2063179,294.46567,26.044670
244999,92261,.37548653,.38284492,1.0910051,295.55667,24.791766
245999,92648,.37551180,.38170263,1.2716968,296.82837,23.554553
246999,93027,.37550604,.37408996,1.0851500,297.91352,22.330624
247999,93402,.37544219,.35967132,1.3154352,299.22896,21.137798
248999,93786,.37549142,.38770003,1.1887770,300.41773,19.904845
249999,94147,.37546130,.36796125,1.1075699,301.52530,18.745447
250999,94507,.37541312,.36336864,1.2805130,302.80582,17.599885
251999,94875,.37542027,.37721363,1.1618710,303.96769,16.419862
252999,95264,.37539827,.36985446,1.1929541,305.16064,15.170902
253999,95675,.37549644,.40033323,1.2155070,306.37615,13.849771
254999,96040,.37547757,.37068551,1.1395769,307.51572,12.679740
255999,96461,.37563786,.41651224,1.1725049,308.68823,11.325278
256999,96874,.37569982,.39155980,1.0904181,309.77865,9.9961605
257999,97271,.37573608,.38505724,1.2662210,311.04487,8.7265624
258999,97639,.37572637,.37321911,1.0762250,312.12109,7.5473725
259999,98016,.37575717,.38373388,1.2092009,313.33029,6.3423044
260999,98374,.37578190,.38221421,1.2823560,314.61265,5.2001562
261999,98743,.37575711,.36928505,1.0988081,315.71146,4.0190120
262999,99127,.37573114,.36892741,1.1993749,316.91083,2.7909970
263999,99509,.37576403,.38441548,1.0843871,317.99522,1.5690606
264999,99883,.37575311,.37286829,1.2777550,319.27298,.37398695
265313,100000,.37575995,.38153263,.33514190,319.60812,.0000000
