SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-11.062474,0.78648270E-1,0.18995062,0.53330529,0.52573234,0.28350863,0.85901125E-1,0.28015828,0.20466178,0.10398735,0.29173743,0.87544402
-8.4112652,0.41559688,0.16851332,0.52414450,0.61144102,0.11180055,0.18245894,0.29645848,0.61138047E-1,0.38138626E-1,0.39396196,0.81770434
-6.7475670,0.28232014,0.17702124,0.51009227,0.60041573,0.37188270,0.14911400,0.33127627,0.12103060,0.58890535E-1,0.36485955,0.87447103
-12.047968,0.39516189,0.15643039,0.29606977,0.50550522,0.43923552,0.31657913E-1,0.33317657,0.23673270,0.12888378,0.34671351,0.82456446
-8.2424161,0.36560752,0.12623055,0.37115972,0.52102109,0.38233850,0.32148671E-1,0.11369468,0.21557437,0.86914366E-1,0.29891179,0.90041800
-7.2068497,0.12378927,0.11393998,0.29677210,0.57495841,0.23991795,0.41447075E-1,0.19279811,0.36585517,0.65180004E-2,0.28470154,0.92810655
-12.406185,0.33752289,0.22155034,0.37473744,0.64074532,0.36854486,0.22357633,0.26611701,0.96198540E-1,0.85570875E-1,0.36455748,0.89318870
-8.6566375,0.19301118,0.19680710,0.52341735,0.58747780,0.48027089,0.98509201E-1,0.25121257,0.81980752E-1,0.33385846E-1,0.29295114,0.95728875
-8.0739075,0.61198566,0.10761393,0.29406024,0.59604213,0.27145023,0.10307900,0.20868999,0.34049329,0.52102998E-1,0.33451925,0.84294367
-8.0009451,0.18625027,0.14515813,0.43489356,0.54961559,0.14885802,0.82365807E-1,0.24048296,0.20865860,0.50989254E-1,0.30669897,0.83830386
-6.7399435,0.60833267,0.11865648,0.79922349E-1,0.55996914,0.40309505,0.81426464E-1,0.24539447,0.31850424,0.43515089E-1,0.32807254,0.85621103
-9.9125172,0.34088002,0.16246963,0.56268101,0.45443173,0.48066451,0.28459392,0.99999480E-2,0.82849840E-1,0.26789974E-1,0.35650659,0.82693769
-8.3511464,0.43800695,0.11326241,0.43441920,0.54854536,0.33465173,0.17419082,0.16256414,0.17659060,0.41758107E-1,0.37486441,0.83008051
-7.5504577,0.59424627,0.19708290,0.32944361,0.66974927,0.41929595,0.10064001,0.29361267,0.10465526,0.45425907E-1,0.32214861,0.91482766
-9.3919089,0.44989821,0.20485194,0.24283315,0.60956289,0.20210672,0.19243199,0.19881062,0.18625500,0.29092115E-1,0.31474856,0.93580962
-7.8425102,0.53462558,0.15745585,0.19545203,0.65682382,0.41946120E-1,0.33075027E-1,0.49992481,0.33389601,0.71517342E-1,0.35323080,0.89280219
-9.4130531,0.86863859E-1,0.17650004,0.51413564,0.58691257,0.55069716E-1,0.34656963,0.27727245,0.29358681,0.74938826E-1,0.36265673,0.88762025
-9.3061949,0.61110299,0.15361170,0.13148180,0.55047407,0.43134181,0.42644434E-2,0.32449032,0.18402423,0.65785338E-1,0.33854777,0.88236530
-8.3517065,0.36139695,0.90148324E-1,0.24260840,0.48140082,0.29450280,0.17975949,0.22943646,0.29515511,0.55679613E-1,0.33987895,0.87292954
-12.768037,0.10204702,0.13694168,0.74846250,0.55006753,0.26901520,0.31979887,0.32795040,0.75498532E-1,0.97679196E-1,0.36966134,0.87760025
-6.9542678,0.49300930,0.13215385,0.26304807,0.58971349,0.35761432,0.90537834E-1,0.39286948,0.38907653,0.33865753E-1,0.35769516,0.88015438
-7.1317423,0.41066384,0.93672716E-1,0.16457115,0.62580012,0.84488029E-1,0.30585623E-1,0.28375818,0.50302525,0.10870710E-1,0.29536447,0.90636323
-7.0651000,0.66721733,0.16636639,0.24498195,0.59373443,0.25427894,0.92342202E-1,0.21366599,0.10527912,0.29237669E-1,0.32662919,0.86654351
-6.7719666,0.26132442,0.15188598,0.34771850,0.69062623,0.22037331E-1,0.16387663,0.35150565,0.42732731,0.24715232E-1,0.35797477,0.90364134
-10.240534,0.24003229,0.20227759,0.38422059,0.55018104,0.23423575,0.47345216E-1,0.38859062,0.21415853,0.15721148,0.31991750,0.91847512
-8.3957234,0.42365767,0.17110431,0.53579627,0.59999092,0.25730669,0.79472136E-1,0.60432504E-1,0.70679943E-1,0.19372847E-1,0.28587323,0.92721189
-5.8267141,0.13869970,0.10751865,0.26006985,0.56383768,0.17036443,0.84301567E-1,0.36461122,0.39780950,0.47840764E-1,0.34122111,0.88019153
-8.3951179,0.23140480,0.10878897,0.36794123,0.56130339,0.26915242,0.22077723,0.20636890,0.25015504,0.65055242E-2,0.35675765,0.92612088
-9.8888282,0.38848898,0.14427105,0.12393051,0.63809011,0.19142551,0.21657082E-1,0.41834777,0.29020419,0.92977865E-1,0.30508580,0.90309898
-10.279665,0.65550309,0.20879154,0.37683979,0.73414224,0.14339960,0.14142100,0.13972281,0.21279921,0.92141526E-3,0.33314186,0.94147490
-4.6810882,0.28920984,0.14494899,0.35026417,0.64303131,0.18415204,0.19769428E-1,0.35294114,0.26990695,0.15119697E-1,0.34193764,0.87240505
-12.125261,0.62002083E-1,0.21450422,0.44763851,0.59441514,0.32258175,0.90339348E-1,0.43391600,0.34896891E-1,0.10447447,0.29624203,0.93038528
-8.4774354,0.36230533,0.85088825E-1,0.33130333,0.54287502,0.35049841,0.15866829,0.92980938E-1,0.31479931,0.36301186E-1,0.33782417,0.86443527
-8.9271992,0.33358096E-2,0.11324760,0.36775212,0.58279815,0.15500350,0.12014869,0.31947488,0.45612127,0.84236935E-1,0.33625056,0.90181683
-10.409974,0.32830887,0.14099281,0.54625226,0.57854690,0.72824204E-3,0.40825388,0.17179159,0.30505587,0.40068278E-1,0.38803254,0.85792834
-7.7205841,0.56622248,0.19877867,0.48589120,0.70582272,0.19389802,0.14412789,0.34900093,0.15917086,0.36858833E-1,0.35688039,0.87277305
-8.2963593,0.57790687,0.10544493,0.23782707,0.61036107,0.38308972,0.22735753E-1,0.28443349,0.26193747,0.62875216E-1,0.35984443,0.85701472
-9.8508403,0.28703720,0.10483415,0.50633150E-1,0.55911446,0.25596682,0.96333583E-1,0.69835495E-1,0.47469813,0.26936127E-1,0.31520794,0.88273655
-7.0716068,0.68694191,0.14541147,0.26830299,0.62187992,0.37215189,0.17279672,0.16602750,0.98681702E-1,0.14542441E-1,0.34223650,0.89592499
-5.6706288,0.31966205,0.12011879,0.30401082,0.53322451,0.31630879,0.93848971E-1,0.22703873,0.28661044,0.37530507E-1,0.33173698,0.89060002
-10.799409,0.50838669,0.15250389,0.56350218,0.58229952,0.49263402,0.25219915,0.19601424,0.94163587E-1,0.34247766E-1,0.33682495,0.86691295
-8.3590065,0.48165736,0.18667064,0.26206113,0.66836838,0.13885648,0.73594684E-1,0.24642078,0.10163012,0.83288808E-1,0.32025932,0.92828838
-6.1976863,0.27104768,0.14029636,0.47870716,0.59729105,0.39575197,0.46547994E-1,0.33892561,0.21147195,0.72408346E-2,0.33218344,0.88401217
-8.0869815,0.44270026,0.17073196,0.49740458,0.58295698,0.22315196,0.33261048E-1,0.47954699,0.20366019,0.24794766E-1,0.33757947,0.90389143
-5.4544346,0.32274782,0.16494395,0.44402893,0.65260854,0.10290937,0.89821151E-1,0.40382655,0.26141705,0.26251802E-1,0.35436997,0.84786265
-6.7734455,0.64906399,0.14505723,0.15278438,0.61375150,0.25445733,0.17420358E-1,0.24663593,0.43104239,0.29502629E-1,0.31590451,0.91368835
