ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
1,0,0.83525139E-1,0.0000000,12,3,-15.993376,0.47082368,0.15860911,0.53206607,0.61940465,0.34604723,0.25249863,0.17741849,0.37086734,0.35504495E-1,0.12591837,0.10863132,0.34356802,0.89708717,0.35463567,0.30796860
1,0,0.84511233E-1,0.0000000,12,1,-16.924413,0.46630805,0.15836401,0.54516886,0.61780196,0.34638894,0.24014624,0.18593635,0.38203734,0.45396792E-1,0.13174108,0.10091612,0.34722001,0.89302143,0.34742589,0.31622119
1,0,0.86646106E-1,0.0000000,12,4,-18.065034,0.48034504,0.15762241,0.55121576,0.62397861,0.34023085,0.24581282,0.16999454,0.38637406,0.45721534E-1,0.13477732,0.99553173E-1,0.35205370,0.89187633,0.34042472,0.32919096
1,0,0.89240378E-1,0.0000000,12,1,-18.151886,0.48498680,0.15588206,0.55124627,0.61699769,0.34510726,0.23359824,0.16519231,0.38400258,0.47886174E-1,0.13857239,0.83985235E-1,0.35126921,0.89228556,0.33194791,0.32777941
1,0,0.92077636E-1,0.0000000,12,1,-17.345607,0.48283517,0.14552788,0.54412473,0.61690423,0.35446996,0.21786326,0.19415815,0.39336941,0.50225794E-1,0.13046090,0.95700953E-1,0.35718832,0.88665033,0.33336362,0.31520969
1,0,0.94835707E-1,0.0000000,12,1,-17.365630,0.47073597,0.14104090,0.52944252,0.61322996,0.36511888,0.21397862,0.21811164,0.40863482,0.57204378E-1,0.12731989,0.10275886,0.36257452,0.88610128,0.32240651,0.30516951
1,0,0.97638073E-1,0.0000000,12,1,-17.245578,0.47563631,0.14676779,0.53351838,0.62292077,0.36490707,0.22618779,0.20830385,0.39991927,0.48695512E-1,0.12055334,0.10164374,0.36021005,0.88795696,0.33549624,0.30724301
1,0,0.10180315,0.0000000,12,3,-18.271234,0.49242582,0.13997206,0.53548267,0.62618508,0.37279083,0.20722735,0.20483686,0.40379637,0.47618904E-1,0.12905827,0.83084882E-1,0.35974554,0.88821995,0.32545595,0.31009461
1,0,0.10400351,0.0000000,12,1,-18.468075,0.51239337,0.13847742,0.55235595,0.62998138,0.37187230,0.19457597,0.19260887,0.38882511,0.44767896E-1,0.12714319,0.86608912E-1,0.35348648,0.89276892,0.33098307,0.31070201
1,0,0.10673521,0.0000000,12,1,-17.911541,0.50869359,0.15484018,0.56909792,0.63017579,0.36539771,0.20182678,0.18393681,0.36667103,0.38843515E-1,0.12624726,0.82952808E-1,0.34454849,0.90023850,0.35242859,0.31593047
1,0,0.10945030,0.0000000,12,1,-17.434112,0.51028406,0.16414880,0.57996156,0.62180495,0.35496879,0.21938921,0.16237636,0.34388483,0.33652654E-1,0.12220940,0.75847506E-1,0.34285735,0.90967857,0.36023046,0.31640604
1,0,0.11187900,0.0000000,12,1,-17.527411,0.52107103,0.16002181,0.59021442,0.62478430,0.34172600,0.21799454,0.15935798,0.33790484,0.39325574E-1,0.11087702,0.89925025E-1,0.34751262,0.90904133,0.35554350,0.31724334
1,0,0.11507479,0.0000000,12,3,-18.034955,0.52072431,0.16345548,0.60354708,0.62762429,0.32356170,0.23632876,0.14546922,0.32598278,0.42244918E-1,0.10832334,0.94502129E-1,0.36024786,0.90420499,0.35641960,0.32670661
1,0,0.11772426,0.0000000,12,1,-16.576523,0.50337428,0.16841794,0.59129293,0.61272172,0.32575073,0.25121610,0.14567789,0.32294381,0.38772670E-1,0.10529484,0.88542865E-1,0.35903432,0.90528547,0.36305202,0.32727498
