ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,0.18761525,0.0000000,13,1,-7.1761956,0.98120580E-1,0.16463976,0.48253631,0.51792657,0.44587022,0.88286991E-1,0.28318217,0.17973771E-1,0.23273651E-1,0.34342946,0.85340416
1,0,0.18962610,0.0000000,13,1,-7.0090667,0.73215456E-1,0.16402619,0.50962120,0.53044752,0.46285981,0.85433283E-1,0.27449483,0.25380947E-1,0.25255606E-1,0.34094548,0.83945784
1,0,0.19048237,0.0000000,13,5,-7.2444744,0.80409061E-1,0.16834203,0.52729359,0.53672400,0.45473088,0.12170149,0.27971579,0.42693642E-1,0.35410817E-1,0.34237558,0.83315705
1,0,0.19172997,0.0000000,13,1,-7.5982975,0.66079369E-1,0.16940320,0.54357996,0.53647287,0.45703155,0.13951521,0.27553586,0.55348847E-1,0.40533244E-1,0.34127449,0.83024652
1,0,0.19046152,0.0000000,13,4,-9.3797558,0.11460576,0.18625307,0.58544109,0.53662075,0.40357647,0.28624025,0.27991605,0.74937745E-1,0.63317115E-1,0.35487546,0.84336749
1,0,0.19260455,0.0000000,13,3,-6.6901269,0.12120538,0.17177337,0.54461412,0.52314474,0.42547696,0.18026010,0.28555900,0.47467153E-1,0.32015431E-1,0.35234409,0.85187174
1,0,0.19453612,0.0000000,15,1,-6.6305441,0.13736968,0.17097071,0.55186157,0.51583849,0.41589211,0.20125522,0.28386065,0.47438128E-1,0.28661642E-1,0.35662129,0.86215785
1,0,0.19532943,0.0000000,15,1,-7.2712235,0.16898227,0.18016588,0.55999689,0.51693250,0.39498781,0.24994269,0.29311622,0.48365439E-1,0.23591549E-1,0.36453205,0.87559692
1,0,0.19628779,0.0000000,15,1,-7.7856540,0.19306077,0.17751551,0.56453302,0.51072430,0.38365647,0.25823778,0.29783482,0.36443057E-1,0.23076526E-1,0.37138665,0.88119402
1,0,0.19819685,0.0000000,15,1,-7.1648797,0.16022040,0.17734431,0.58588776,0.52425506,0.39999186,0.25405027,0.28951124,0.45820322E-1,0.25127937E-1,0.36569145,0.86583059
1,0,0.19965550,0.0000000,15,3,-7.4435502,0.16948724,0.17674322,0.60095253,0.52262643,0.39209778,0.27771858,0.28129052,0.54760284E-1,0.28502914E-1,0.36703243,0.86674927
1,0,0.20118306,0.0000000,15,2,-6.3386969,0.13468180,0.17148302,0.56059388,0.52439863,0.42708073,0.18559233,0.27924913,0.47749598E-1,0.11238303E-1,0.35544004,0.86295283
1,0,0.20290100,0.0000000,15,1,-6.4061833,0.11349211,0.16716338,0.56016560,0.52084764,0.43950502,0.17700890,0.28235522,0.57040139E-1,0.17898827E-1,0.35328960,0.85689217
1,0,0.20454099,0.0000000,15,1,-6.5062026,0.95256753E-1,0.16474348,0.56412600,0.52473857,0.45643473,0.16070733,0.27379535,0.57375570E-1,0.21542557E-1,0.35095840,0.85081715
1,0,0.20717557,0.0000000,15,3,-6.5908144,0.70630750E-1,0.15503668,0.53931075,0.52235106,0.48172085,0.84725239E-1,0.26997681,0.46508392E-1,0.87973512E-2,0.34341624,0.84562301
1,0,0.20901081,0.0000000,15,1,-6.4301711,0.12250806,0.16989157,0.55623916,0.51863192,0.44012216,0.19519815,0.27249419,0.49082684E-1,0.18440460E-1,0.35626837,0.86897183
1,0,0.21024281,0.0000000,15,1,-6.7279473,0.11341025,0.17265152,0.56669960,0.52048437,0.43548742,0.22217483,0.27519126,0.57714498E-1,0.25013533E-1,0.35610126,0.86618628
1,0,0.21012811,0.0000000,15,1,-8.5576462,0.11388821,0.18424901,0.58827728,0.52672801,0.41549106,0.30230072,0.26763690,0.76897304E-1,0.45631235E-1,0.35560975,0.86547373
1,0,0.21331549,0.0000000,15,4,-6.4006947,0.98666158E-1,0.17191045,0.54598216,0.52693237,0.44449844,0.17425908,0.26386157,0.55667725E-1,0.20793787E-1,0.34644717,0.86002704
1,0,0.21440206,0.58237582,15,2,-6.5010166,0.61354680E-1,0.16226159,0.51447712,0.52970043,0.48300522,0.74672042E-1,0.25879073,0.44249796E-1,0.51027218E-2,0.33624659,0.85206731
1,0,0.21618346,0.0000000,15,1,-6.3925356,0.74899915E-1,0.17036856,0.51340455,0.53145585,0.47565615,0.10796867,0.25927790,0.47575188E-1,0.11626741E-1,0.33912879,0.85888502
1,0,0.21918702,0.0000000,15,2,-6.4356029,0.99707054E-1,0.17369580,0.54255313,0.52351181,0.44092221,0.18987054,0.26759489,0.55256754E-1,0.21953369E-1,0.34967000,0.86724729
1,0,0.22094561,0.0000000,15,1,-6.2907503,0.85351981E-1,0.16207445,0.51830911,0.51747159,0.46298979,0.10910471,0.27337384,0.42739802E-1,0.35921201E-2,0.34567982,0.86557711
1,0,0.22246988,0.0000000,15,1,-6.3969480,0.11706460,0.17448377,0.52999908,0.52292157,0.43802087,0.17707937,0.27353476,0.44931722E-1,0.13401983E-1,0.35178036,0.87368452
1,0,0.22278238,0.0000000,15,2,-6.9388633,0.13717922,0.17373514,0.52245099,0.51594345,0.42067169,0.18885945,0.28367941,0.33962524E-1,0.14498237E-1,0.35806735,0.88110714
1,0,0.22451724,0.0000000,15,1,-6.5611842,0.11623968,0.17155797,0.50685851,0.52452176,0.44282712,0.12914473,0.27417018,0.29108727E-1,0.51771862E-2,0.34983910,0.87285636
1,0,0.22575880,0.0000000,15,2,-6.4186325,0.11739543,0.17217504,0.51688740,0.52948975,0.44949156,0.13425238,0.27291673,0.34871816E-1,0.21628692E-2,0.35090574,0.87254357
1,0,0.22705187,0.0000000,15,2,-6.3549526,0.88253820E-1,0.17130574,0.52492932,0.52463790,0.45172448,0.15485369,0.27897422,0.56220455E-1,0.15919275E-1,0.34679501,0.86405026
1,0,0.22957389,0.0000000,15,4,-6.4674505,0.84246063E-1,0.16989279,0.53747992,0.52200470,0.44679452,0.17033787,0.27864971,0.59269873E-1,0.22886559E-1,0.34784653,0.85984874
